OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,SHAPE_Area,SHAPE_Length
47,,Colonial Homes,Neighborhood,,,,,,27.42,0.04,Colonial Homes,C,,,GIS,2022/05/24 15:38:24+00,{95ED6F40-0B41-44A8-A5BE-F06283326C51},1194477.70339101,4978.10993276711
48,,Cabbagetown,Neighborhood,,,,,,112.17,0.18,Cabbage Town,N,,,GIS,2022/05/24 15:38:24+00,{267DA5D6-6421-4870-AA02-137C41930051},4886223.4652232,9042.74879518384
49,,Reynoldstown,Neighborhood,,,,,,395.41,0.62,Reynoldstown,N,,,GIS,2022/05/24 15:38:24+00,{F178147A-A945-4234-8052-D81C012E4ECB},17223812.0943034,17900.2189637518
50,,The Villages at East Lake,Neighborhood,,,,,,187.26,0.29,East Lake Meadows,O,,,GIS,2022/11/08 16:43:10+00,{64F7E230-0B97-4A6E-9870-3E6B6C10369B},8101093.7550941,15563.8263063761
51,,Ormewood Park,Neighborhood,,,,,,505.91,0.79,Ormewood Park,W,,,GIS,2022/05/24 15:38:24+00,{EC67BCEC-A8CB-49B0-8979-4D36C9FC2D32},22037397.9561682,21428.4028948594
52,,Woodland Hills,Neighborhood,,,,,,94.71,0.15,Woodland Hills,W,,,GIS,2022/05/24 15:38:24+00,{01E58E2B-50D2-476B-9670-CDD137717CA1},4125419.68850194,8918.18627824192
53,,Benteen Park,Neighborhood,,,,,,180.54,0.28,Benteen,W,,,GIS,2022/05/24 15:38:24+00,{6F4AC49D-3F7D-4873-89C6-AEE0A2D6AAC5},7864496.37794289,13853.8158769751
54,,Boulevard Heights,Neighborhood,,,,,,140.21,0.22,Boulevard Heights,W,,,GIS,2022/05/24 15:38:24+00,{86A6BACD-68D0-40FD-83BA-9FD63C97B887},6107540.24423201,11725.6586747281
55,,Rebel Valley Forest,Neighborhood,,,,,,112.36,0.18,Rebel Valley Forest,Z,,,GIS,2022/05/24 15:38:24+00,{6B3F2CCF-2905-45C6-8B08-E6971E78C328},4894277.90575651,9128.26074995025
56,,Leila Valley,Neighborhood,,,,,,314.8,0.49,Leila Valley,Z,,,GIS,2022/05/24 15:38:24+00,{D3B20D8F-7D74-4A29-A947-FA64841311FA},13712534.1413444,24885.5192028361
57,,Chosewood Park,Neighborhood,,,,,,560.44,0.88,Choosewood Park,Y,,,GIS,2022/05/24 15:38:31+00,{EE550657-B80D-4F61-B2AB-DEE359E72B65},24412468.4180996,25519.1637909518
58,,Cascade Avenue/Road,Neighborhood,,,,,,673.3,1.05,Cascade Road,S,,,GIS,2022/05/24 15:38:24+00,{CDB5122B-F54E-4893-9264-C41C69E235D4},29328959.9535114,25579.3263733179
59,,Oakland City,Neighborhood,,,,,,630.39,0.98,Oakland City,S,,,GIS,2022/05/24 15:38:24+00,{EB398172-A2F8-42B4-B73A-D237D926B9C8},27459719.0325117,34560.3853975011
60,,Campbellton Road,Neighborhood,,,,,,282.91,0.44,Campbellton Road,R,,,GIS,2022/05/24 15:38:32+00,{7F9C6923-F17A-4C70-9F40-49235294CB69},12323572.8142463,15863.5603001759
61,,Southwest,Neighborhood,,,,,,1262.47,1.97,Southwest,R,,,GIS,2022/05/24 15:38:24+00,{430929E0-8949-48DD-9E5F-778F07F688F9},54992889.8360355,46142.6899811634
62,,Adams Park,Neighborhood,,,,,,628.53,0.98,Adams Park,R,,,GIS,2022/05/24 15:38:24+00,{806632F1-D3FC-4DD2-978A-42B625F8C601},27378542.8808632,21028.3650077128
63,,Mellwood,Neighborhood,,,,,,23.3,0.04,Melwood,P,,,GIS,2022/05/24 15:38:25+00,{0ED77AB2-19DB-41EA-A7CD-B5F9033327D5},1015011.19082165,4080.2077148072
64,,Tampa Park,Neighborhood,,,,,,17.19,0.03,Tampa Park,P,,,GIS,2022/05/24 15:38:25+00,{A54BDB59-7D9D-496A-80D1-17723D2F4D08},748868.042249654,3601.17232582406
65,,Brentwood,Neighborhood,,,,,,46.45,0.07,Brentwood,P,,,GIS,2022/05/24 15:38:25+00,{4CC9A239-E950-40E4-905B-46901522AE6D},2023496.46824406,6741.62413731234
66,,Lake Estates,Neighborhood,,,,,,42.12,0.07,Lake Coral Estates,P,,,GIS,2022/05/24 15:38:25+00,{881DBCED-ECD4-402C-BA5A-5C70901C4D21},1834676.91746567,6400.18561622347
67,,Butner/Tell,Neighborhood,,,,,,143.88,0.22,Butner Tell,P,,,GIS,2022/05/24 15:38:25+00,{0677781B-FA47-43A3-86FC-5401A586981A},6267545.01995698,13307.7254341548
68,,Elmco Estates,Neighborhood,,,,,,132.58,0.21,Elmco Estates,P,,,GIS,2022/05/24 15:38:25+00,{127606D4-690C-4B53-A273-E1A1702BC5BD},5775345.09733349,11367.7815762883
69,,Sandlewood Estates,Neighborhood,,,,,,56.51,0.09,Sandlewood Estates,P,,,GIS,2022/05/24 15:38:25+00,{3A807E2E-AF9B-4D22-93F9-85AACAA9C981},2461632.39763697,9747.5367506521
70,,Ashley Courts,Neighborhood,,,,,,35.91,0.06,Kimberley Courts,P,,,GIS,2022/05/24 15:38:25+00,{7368E720-1C5C-42FD-B2FF-3E416890B37C},1564308.07389668,5416.46346424669
71,,Ben Hill,Neighborhood,,,,,,685.22,1.07,Ben Hill,P,,,GIS,2022/05/24 15:38:25+00,{BE4276A0-2F34-4E15-8DDA-F8059ACC9E22},29848191.818025,38492.4396847403
72,,Berkeley Park,Neighborhood,,,,,,300.29,0.47,Berkeley Park,D,,,GIS,2022/05/24 15:38:25+00,{200941BA-621D-4CEB-85E1-DAE3F0C12784},13080788.1160151,17189.9550703548
73,,Underwood Hills,Neighborhood,,,,,,718.32,1.12,Underwood Hills,D,,,GIS,2022/05/24 15:38:25+00,{F6A29233-FF85-4169-91C3-73BFE2023102},31289894.060391,33420.1599316107
74,,Riverside,Neighborhood,,,,,,500.1,0.78,Riverside,D,,,GIS,2022/05/24 15:38:25+00,{2EBF0A4D-2806-447E-8D78-1EF68F5CC343},21784340.2705993,22496.6259448859
75,,Bolton,Neighborhood,,,,,,964.68,1.51,Bolton,D,,,GIS,2022/05/24 15:38:25+00,{68C7BA9F-7608-4A79-B59E-65E2C4C00FE6},42021277.9763764,36336.3920889419
76,,Blandtown,Neighborhood,,,,,,495.03,0.77,Blandtown,D,,,GIS,2022/05/24 15:38:25+00,{B120B823-DF1C-43A1-8E6B-0CCA0C7A8D72},21563488.7043263,20216.3544592689
77,,Lincoln Homes,Neighborhood,,,,,,166.59,0.26,Lincoln Homes,G,,,GIS,2022/05/24 15:38:25+00,{760CE299-A137-42FB-9ACA-079739E3B85D},7256688.37063432,13469.2105062178
78,,Scotts Crossing,Neighborhood,,,,,,310.83,0.49,Scotts Crossing,G,,,GIS,2022/05/24 15:38:25+00,{B73ED0A9-5071-411C-B43C-F24966C98182},13539658.485063,19981.6030711335
79,,West Highlands,Neighborhood,,,,,,507.02,0.79,Perry Homes,G,,,GIS,2022/05/24 15:38:25+00,{72D80BC0-3021-4444-AD33-48662B2AB619},22085523.1674219,26643.9976054873
80,,Rockdale,Neighborhood,,,,,,358.31,0.56,Rockdale,G,,,GIS,2022/05/24 15:38:25+00,{78733A65-6404-49A9-B440-7D53607EBB9A},15608124.1623918,20281.4330503028
81,,Monroe Heights,Neighborhood,,,,,,248.72,0.39,Monroe Heights,G,,,GIS,2022/05/24 15:38:25+00,{7A806875-E2CE-4088-848A-AA35B3192661},10834011.9414054,16600.8812943684
82,,Brookview Heights,Neighborhood,,,,,,345.17,0.54,Watts Road,G,,,GIS,2022/05/24 15:38:25+00,{048749C8-B16A-4043-B7A0-75FD92983B8C},15035704.6497798,21684.0205233713
83,,Center Hill,Neighborhood,,,,,,703.7,1.1,Center Hill,J,,,GIS,2022/05/24 15:38:26+00,{819901CA-CAD0-4D35-9F85-CAA55E6A32BA},30653084.1497734,23967.9131741831
84,,Bankhead Courts,Neighborhood,,,,,,48.95,0.08,Bankhead Courts,H,,,GIS,2022/05/24 15:38:26+00,{67A0A32E-8339-4F24-82D6-B1912760B751},2132162.66820307,7356.92280915775
85,,Wisteria Gardens,Neighborhood,,,,,,110.71,0.17,Wisteria Gardens,H,,,GIS,2022/05/24 15:38:26+00,{FCA8C791-6194-4407-AC4A-3C24C91B68A5},4822528.16968578,11669.441421999
86,,Baker Hills,Neighborhood,,,,,,183.44,0.29,Baker Hills,H,,,GIS,2022/05/24 15:38:26+00,{79184CD8-CF78-44A7-92BD-24941DF8A997},7990800.85562827,11842.8152154118
87,,Wilson Mill Meadows,Neighborhood,,,,,,241.95,0.38,Wilson Mill Meadows,H,,,GIS,2022/05/24 15:38:26+00,{2B63D8A7-D37E-42E1-B0FC-7108E65264AF},10539188.1270721,14531.2023353279
88,,Orchard Knob,Neighborhood,,,,,,293.54,0.46,Orchard Knob,Z,,,GIS,2022/05/24 15:38:26+00,{5E05DAE9-12DE-4325-BB3A-52ADC8C6F61A},12786692.7288674,16208.2460017441
89,,Lenox,Neighborhood,,,,,,152.2,0.24,Lenox Superblock,B,,,GIS,2022/05/24 15:38:26+00,{1C0811AB-B323-4DD6-B868-11BEC992922D},6629843.09741076,15951.0703996652
90,,Peachtree Park,Neighborhood,,,,,,311.14,0.49,Peachtree Park,B,,,GIS,2022/05/24 15:38:26+00,{29E3DAE2-F37C-48C9-B7A3-5416A943E4C7},13553029.4684742,16676.8419801829
91,,Buckhead Forest,Neighborhood,,,,,,200.28,0.31,Buckhead Forest,B,,,GIS,2022/05/24 15:38:26+00,{DCC63597-2E03-4946-BAD6-0DC64CDB03A5},8724028.88671063,13523.8608266074
92,,Peachtree Heights West,Neighborhood,,,,,,579.91,0.91,Peachtree Heights West,B,,,GIS,2022/05/24 15:38:26+00,{31E51C2A-B95F-4E48-AD17-E8BD0BD0C88E},25260753.255086,23379.3693211881
93,,Garden Hills,Neighborhood,,,,,,482.29,0.75,Garden Hills,B,,,GIS,2022/05/24 15:38:26+00,{1A9B52D8-DE45-4D75-847F-D2FC3F4C4EF3},21008613.4507094,20901.8118455859
94,,Peachtree Hills,Neighborhood,,,,,,330.62,0.52,Peachtree Hills,B,,,GIS,2022/05/24 15:38:26+00,{A9D76F74-10E6-4C46-889A-F2A02630ADE3},14401704.1098897,15717.6829888003
95,,Randall Mill,Neighborhood,,,,,,217.89,0.34,Randall Mill,A,,,GIS,2022/05/24 15:38:26+00,{0856E3C7-96A7-470F-A0D7-B76F6B5934E0},9491355.24830196,16614.8620666786
96,,Kingswood,Neighborhood,,,,,,400.61,0.63,Kingswood,A,,,GIS,2022/05/24 15:38:26+00,{BFEDF2F0-ACBC-45E4-BF9A-C3A0E370B92E},17450447.9057827,23769.2264794251
97,,Tuxedo Park,Neighborhood,,,,,,735.05,1.15,Tuxedo Park,A,,,GIS,2022/05/24 15:38:26+00,{57BC4F1B-FD2B-471D-B012-A3AEA65FF56F},32018585.3698982,24048.5209937229
98,,Margaret Mitchell,Neighborhood,,,,,,540.68,0.84,Margaret Mitchell,A,,,GIS,2022/05/24 15:38:26+00,{CFBCBD92-BC43-4181-80E6-665B66E847A7},23552112.3751356,24241.0315458074
99,,Westover Plantation,Neighborhood,,,,,,51.32,0.08,Westover Plantation,C,,,GIS,2022/05/24 15:38:26+00,{81B17A54-32D9-41DB-88E1-02BFB3D09ADC},2235693.1639264,7193.08397029263
100,,Cross Creek,Neighborhood,,,,,,178.88,0.28,Cross Creek,C,,,GIS,2022/05/24 15:38:26+00,{874BCBE2-2F5E-41DD-8391-31FBF464DCBD},7791988.87771875,12144.0020474979
101,,Castlewood,Neighborhood,,,,,,208.29,0.33,Castlewood,C,,,GIS,2022/05/24 15:38:26+00,{A79D8AC0-5295-40BF-BF4D-192D6EA0AAF8},9073224.71555573,15978.8906981102
102,,Argonne Forest,Neighborhood,,,,,,173,0.27,Argonne Forest,C,,,GIS,2022/05/24 15:38:26+00,{83D1632A-F2FA-4A9A-BFFB-D55ABF45B11F},7535976.54957068,13274.915757734
103,,Wyngate,Neighborhood,,,,,,186.79,0.29,Wyngate,C,,,GIS,2022/05/24 15:38:26+00,{5BD8AC55-FED7-4022-AAF9-3EB08FBFD75E},8136554.94934434,16999.3691923811
104,,Peachtree Battle Alliance,Neighborhood,,,,,,458.65,0.72,Haynes Manor,C,,,GIS,2022/05/24 15:38:27+00,{D010D540-F1B2-479B-B081-1D979288F318},19978511.3042858,23777.9685117259
105,,Memorial Park,Neighborhood,,,,,,92.79,0.14,Memorial Park,C,,,GIS,2022/05/24 15:38:27+00,{C9E1CD17-C6AF-40EF-AA2F-454645437704},4042006.81836917,10296.3257501672
106,,Wildwood (NPU-C),Neighborhood,,,,,,235.77,0.37,Wildwood,C,,,GIS,2022/05/24 15:38:27+00,{4B59DF74-E07E-414F-9C37-8F9EDEB55357},10270034.1758535,20257.8955128927
107,,Collier Hills North,Neighborhood,,,,,,70.82,0.11,Collier Hills North,C,,,GIS,2022/05/24 15:38:27+00,{CE2AFF29-1B1B-418A-A38A-2114FBB7255F},3085089.9611392,8092.46066189518
108,,Beecher Hills,Neighborhood,,,,,,284.6,0.44,Beecher Hills,I,,,GIS,2022/05/24 15:38:27+00,{BC9BDF0D-5112-4426-ADE8-1CA16ED00B79},12397197.1269366,14432.4679927337
109,,Westwood Terrace,Neighborhood,,,,,,141.13,0.22,Westwood Terrace,I,,,GIS,2022/05/24 15:38:27+00,{3E6368C9-2ADA-4B8F-A050-5CA8993A4FAE},6147411.67909855,10320.7700521598
110,,Harris Chiles,Neighborhood,,,,,,88.81,0.14,Harris Chiles,T,,,GIS,2022/05/24 15:38:27+00,{BAD4D86C-3A10-44F5-8AB1-A40B0D9C5F96},3868534.70861346,9290.74395695617
111,,The Villages at Castleberry Hill,Neighborhood,,,,,,57.14,0.09,John Hope Homes,T,,,GIS,2022/05/24 15:38:27+00,{6E8447E2-DC28-46CE-B8C8-C471B3F8776A},2488951.05447992,8962.47826466036
112,,Mozley Park,Neighborhood,,,,,,276.76,0.43,Mozley Park,K,,,GIS,2022/05/24 15:38:27+00,{EC7A089B-9291-4203-8AE8-03CCB7CB2288},12055696.0803432,15203.6319909932
113,,Washington Park,Neighborhood,,,,,,164.04,0.26,Washington Park,K,,,GIS,2022/05/24 15:38:27+00,{986A0A4A-F2FB-4A2D-9624-3DE233C589B4},7145351.78850589,11648.0554740511
114,,Knight Park/Howell Station,Neighborhood,,,,,,349.1,0.55,Knight Park,K,,,GIS,2022/05/24 15:38:27+00,{4BDB8A36-2292-4C3B-A0C1-588341184279},15206825.0410253,15754.7985265846
115,,Vine City,Neighborhood,,,,,,327.2,0.51,Vine City,L,,,GIS,2022/05/24 15:38:27+00,{152D8EFD-F10A-4B8F-A5A2-5C598194D64A},14252647.6753321,15292.3433577269
116,,Pittsburgh,Neighborhood,,,,,,512.04,0.8,Pittsburgh,V,,,GIS,2022/05/24 15:38:27+00,{63C400B4-DB52-468D-94AB-7296E3DC0210},22304542.4493933,24371.5036467895
117,,Peoplestown,Neighborhood,,,,,,339.63,0.53,Peoplestown,V,,,GIS,2022/05/24 15:38:27+00,{F040011D-A893-43E7-8EB5-BF60ABDE6F21},14794078.0222726,16258.5733875999
118,,Summerhill,Neighborhood,,,,,,344.65,0.54,Summerhill,V,,,GIS,2022/05/24 15:38:27+00,{2A9A4CBC-8100-4239-9FE1-14BD5C8DAEF4},15012702.6579595,16135.2823697348
119,,Castleberry Hill,Neighborhood,,,,,,180.78,0.28,Castleberry Hill,M,,,GIS,2022/05/24 15:38:27+00,{09F68C81-C92D-4009-B321-0A3C9491CE0F},7874681.05769513,12392.595213005
120,,Sweet Auburn,Neighborhood,,,,,,201.7,0.32,Butler Street,M,,,GIS,2022/05/24 15:38:27+00,{B3788601-5649-4364-9C30-D941B551E5E9},8786177.59136499,14029.3065704838
121,,Marietta Street Artery,Neighborhood,,,,,,236.35,0.37,Bellwood,E,,,GIS,2022/05/24 15:38:32+00,{D48D4DC9-8C40-43C9-BA71-2EDFF0165005},10295543.290033,19707.1099597582
122,,Sherwood Forest,Neighborhood,,,,,,133.45,0.21,Sherwood Forest,E,,,GIS,2022/05/24 15:38:27+00,{88552B0B-1C5E-498D-8948-3324B2FF398C},5813186.15674136,10307.2165458774
123,,Loring Heights,Neighborhood,,,,,,276.41,0.43,Loring Heights,E,,,GIS,2022/05/24 15:38:27+00,{A615CAA3-C62E-4ABC-A81D-F4DBA50D986D},12040196.423498,14778.9273786229
124,,Brookwood Hills,Neighborhood,,,,,,199.44,0.31,Brookwood Hills,E,,,GIS,2022/05/24 15:38:27+00,{086E471D-77AA-4A79-90C6-5EC7821C246E},8687531.07180882,15241.6166519041
125,,Old Gordon,Neighborhood,,,,,,78.62,0.12, ,H,,,GIS,2022/05/24 15:38:27+00,{6944378E-9549-4878-9D41-027A49A2F41B},3424733.25801876,9249.18169331437
126,,Mays,Neighborhood,,,,,,252.84,0.4, ,H,,,GIS,2022/05/24 15:38:28+00,{E0100CB2-7465-419A-B53F-FFB6ECA6C164},11013627.4105092,17787.0566380244
127,,Harvel Homes Community,Neighborhood,,,,,,15.79,0.02,Harvel Homes Community,J,,,GIS,2022/05/24 15:38:28+00,{42D37759-3A8B-4274-9D24-A92F9D3A74D0},687957.980306114,3613.28190645456
128,,Penelope Neighbors,Neighborhood,,,,,,126.25,0.2,Penelope Neighbors,J,,,GIS,2022/05/24 15:38:28+00,{867A7487-3E0F-4009-B82A-419CDB53DFD7},5499619.12591137,12181.1610045693
129,,Dixie Hills,Neighborhood,,,,,,467.77,0.73,Dixie Hills,J,,,GIS,2022/05/24 15:38:28+00,{BD20CBF5-8A5D-423D-A18C-0634F965B657},20375775.6165396,23970.957823504
130,,Grove Park,Neighborhood,,,,,,1341.66,2.1,Grove Park,J,,,GIS,2022/05/24 15:38:31+00,{99D06944-AAC3-4EF7-9FCD-79353A5BDF85},58442277.1274302,41561.529252
131,,Fairburn Heights,Neighborhood,,,,,,356.52,0.56,Fairburn Heights,H,,,GIS,2022/05/24 15:38:28+00,{7A6E0434-9AD7-497E-B5BD-1D0425938C00},15530107.5221694,18505.1379450764
132,,Adamsville,Neighborhood,,,,,,583.36,0.91,Adamsville,H,,,GIS,2022/05/24 15:38:28+00,{FE0AA82E-8956-4854-ABF3-DE930407EBFD},25410961.490221,32866.949395034
133,,Fairburn Road/Wisteria Lane,Neighborhood,,,,,,83.45,0.13,Fairburn Road/Wisteria La,H,,,GIS,2022/05/24 15:38:28+00,{F6908383-0CF2-4DD1-A771-8126488CA11D},3634892.3823601,8676.99120893512
